시간,품목,생산필요량,재고,생산량,수주량
2022.3.1 8:00,GEAR_21,100,100,0,100
2022.3.1 8:00,GEAR_42,400,250,0,400
2022.3.1 11:00,GEAR_21,0,150,150,100
2022.3.1 12:00,GEAR_42,0,50,200,400
2022.3.1 14:00,GEAR_21,0,300,150,100
2022.3.1 16:00,GEAR_42,0,250,200,400
2022.3.1 17:00,GEAR_21,0,450,150,100
2022.3.1 20:00,GEAR_42,0,450,200,400
2022.3.2 8:00,GEAR_21,150,450,0,150
2022.3.2 8:00,GEAR_42,200,450,0,200
2022.3.2 11:00,GEAR_21,0,0,150,150
2022.3.2 12:00,GEAR_42,0,0,200,200
2022.3.2 14:00,GEAR_21,0,150,150,150
2022.3.2 16:00,GEAR_42,0,200,200,200
2022.3.2 17:00,GEAR_21,0,300,150,150
2022.3.2 20:00,GEAR_42,0,400,200,200
2022.3.3 8:00,GEAR_42,400,400,0,400
2022.3.3 8:00,GEAR_21,150,300,0,150
2022.3.3 11:00,GEAR_21,0,0,150,150
2022.3.3 12:00,GEAR_42,0,0,200,400
2022.3.3 14:00,GEAR_21,0,150,150,150
2022.3.3 16:00,GEAR_42,0,0,200,400
2022.3.3 17:00,GEAR_21,0,300,150,150
2022.3.3 20:00,GEAR_42,0,200,200,400
2022.3.4 8:00,GEAR_42,200,200,0,200
2022.3.4 8:00,GEAR_21,200,300,0,200
2022.3.4 11:00,GEAR_21,0,0,150,200
2022.3.4 12:00,GEAR_42,0,0,200,200
2022.3.4 14:00,GEAR_21,0,100,150,200
2022.3.4 16:00,GEAR_42,0,200,200,200
2022.3.4 17:00,GEAR_21,0,250,150,200
2022.3.4 20:00,GEAR_42,0,400,200,200
2022.3.7 8:00,GEAR_42,300,400,0,300
2022.3.7 8:00,GEAR_21,200,250,0,200
2022.3.7 11:00,GEAR_21,0,0,150,200
2022.3.7 12:00,GEAR_42,0,0,200,300
2022.3.7 14:00,GEAR_21,0,100,150,200
2022.3.7 16:00,GEAR_42,0,100,200,300
2022.3.7 17:00,GEAR_21,0,250,150,200
2022.3.7 20:00,GEAR_42,0,300,200,300
2022.3.8 8:00,GEAR_21,300,250,0,300
2022.3.8 8:00,GEAR_42,400,300,0,400
2022.3.8 11:00,GEAR_21,0,0,150,300
2022.3.8 12:00,GEAR_42,0,0,200,400
2022.3.8 14:00,GEAR_21,0,0,150,300
2022.3.8 16:00,GEAR_42,0,0,200,400
2022.3.8 17:00,GEAR_21,0,150,150,300
2022.3.8 20:00,GEAR_42,0,200,200,400
2022.3.9 8:00,GEAR_42,200,200,0,200
2022.3.9 8:00,GEAR_21,300,150,0,300
2022.3.9 11:00,GEAR_21,0,0,150,300
2022.3.9 12:00,GEAR_42,0,0,200,200
2022.3.9 14:00,GEAR_21,0,0,150,300
2022.3.9 16:00,GEAR_42,0,200,200,200
2022.3.9 17:00,GEAR_21,0,150,150,300
2022.3.9 20:00,GEAR_42,0,400,200,200
2022.3.10 8:00,GEAR_21,150,150,0,150
2022.3.10 8:00,GEAR_42,300,400,0,300
2022.3.10 11:00,GEAR_21,0,0,150,150
2022.3.10 12:00,GEAR_42,0,0,200,300
2022.3.10 14:00,GEAR_21,0,150,150,150
2022.3.10 16:00,GEAR_42,0,100,200,300
2022.3.10 17:00,GEAR_21,0,300,150,150
2022.3.10 20:00,GEAR_42,0,300,200,300
2022.3.11 8:00,GEAR_21,300,300,0,300
2022.3.11 8:00,GEAR_42,100,300,0,100
2022.3.11 11:00,GEAR_21,0,0,150,300
2022.3.11 12:00,GEAR_42,0,100,200,100
2022.3.11 14:00,GEAR_21,0,0,150,300
2022.3.11 16:00,GEAR_42,0,300,200,100
2022.3.11 17:00,GEAR_21,0,150,150,300
2022.3.11 20:00,GEAR_42,0,500,200,100
2022.3.14 8:00,GEAR_21,200,150,0,200
2022.3.14 8:00,GEAR_42,400,500,0,400
2022.3.14 11:00,GEAR_21,0,0,150,200
2022.3.14 12:00,GEAR_42,0,0,200,400
2022.3.14 14:00,GEAR_21,0,100,150,200
2022.3.14 16:00,GEAR_42,0,0,200,400
2022.3.14 17:00,GEAR_21,0,250,150,200
2022.3.14 20:00,GEAR_42,0,200,200,400
2022.3.15 8:00,GEAR_21,200,250,0,200
2022.3.15 8:00,GEAR_42,200,200,0,200
2022.3.15 11:00,GEAR_21,0,0,150,200
2022.3.15 12:00,GEAR_42,0,0,200,200
